,Normal,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
tcp.connection.fin,1.5532711792426805e-05,2.6106607337068353e-05,0.00012234601683707702,0.00011987264048204654,0.00018391023183034525,0.00010152972768992185,0.00011875980119738314,0.00017342800688412456,0.00014615009797530043,0.000371235441416502,0.0002463984479092889,0.0003016763594415453,0.0003695148922916916,5.623506576133271e-05,0.00011855595124264559
tcp.connection.rst,0.00020444335157258643,0.00039380319313042693,0.0016647434069050682,0.0001455818859135939,0.0006418692155016793,0.0008376408802966276,0.00030276453795118465,0.0016841527943809826,0.00127459819532103,5.783853049959159e-05,0.00044319205193056,0.0005775563284340832,0.00014746299918947948,0.0004201453003204531,0.0012470450666215685
tcp.connection.syn,9.410211902453577e-05,0.0001214613035748534,0.00025170254427056056,0.000181539485145746,0.00034875127181422863,0.00040679352913799597,0.0002921088205898157,9.685216080108539e-05,0.00019891003275636384,0.0006901848897891227,0.00037160463593737507,0.0004369671804430612,0.0004786290449916445,0.000201431305176683,9.81398564887649e-05
tcp.connection.synack,1.6264373100259237e-05,1.5320690581575037e-05,3.74676238021089e-05,2.077051244365672e-05,2.464924395705263e-05,9.464658667436905e-06,5.372448649723083e-06,1.693106359905667e-05,1.4733620345294992e-06,2.1153431540975967e-05,1.3475850121014648e-05,3.4251889058699214e-05,3.713294423909651e-05,6.117726346322645e-06,9.237292364964054e-06
tcp.dstport,0.0010293099923678205,0.0004307838679480606,0.003226962365133659,0.0016503548454946011,0.0020726269006809163,0.0014760526961655291,0.0028893539794262323,0.002382699598103702,0.0030840509183720616,0.0020624351274838976,0.0008856227108045308,0.0035865428932887276,0.00151030753578905,0.0013506506474206818,0.0024231188490961763
tcp.flags,0.0024162559251736737,0.0031078353734503455,0.0019680015782134637,0.001323676814887828,0.0026266008407947084,0.006402298970186975,0.0034053717325069656,0.005708970807083663,0.004329565489331597,0.004576689670650419,0.004145329845055635,0.0015559186948424515,0.005675023378060915,0.001710689095751958,0.004771578486704836
tcp.flags.ack,0.0012215287932781393,0.0013558258306022076,0.00034263494621376996,0.0005790067563654904,0.0011183640724486091,0.0022939490171575015,0.0013944566075256009,0.0016463982044100096,0.0013976461463203627,0.0025596825140931086,0.001800520048507129,0.00019977132010197055,0.0032143302505485533,0.0007581559057578286,0.0020457789883494117
tcp.len,0.19629627780005748,1.013085963974655,1.524314428358856,0.531192973652667,0.5041317834022144,2.166263497353842,2.129890826507407,2.2149056684220625,1.6928565181020854,0.36007342603781983,1.2198601967254137,0.6511357142072585,0.5465773660813769,0.5428862726750473,1.5048273841824589
tcp.seq,126.1811156630516,103.83189584943983,323.19542816162107,193.03966612180074,97.58890787283579,145.98361333317226,390.9102395857705,347.50293882581923,345.2453581746419,142.37319291326736,39.65672247443348,340.03064503563775,51.58304032325745,216.23608984205458,374.0432672458225
tcp.srcport,0.0003684399629130692,0.0012886276690510891,0.006016152321293097,0.001243494087203645,0.0028235084407384017,0.0043243152357115375,0.0035371831851272063,0.006737283042095644,0.005314728274016589,0.002833637311438603,0.0011638850394835268,0.0038516271576776893,0.002321638329919248,0.0019647512251762577,0.0059306074246382595
udp.port,0.004254011512429119,0.008503610772334408,0.011095704863792485,0.015816757509240914,0.011581835773862363,0.015511553786264535,0.022420166350408787,0.00525981899148418,0.008476325017210861,0.04163516508615992,0.022918642007626,0.036306766863345954,0.03874286147202977,0.004508658168758315,0.005333297595758242
udp.stream,336.66271050771076,322.0112553220325,833.3687753126356,113.58817563957638,691.1955172687107,580.3313961198595,314.7729901264111,575.8871302032471,463.94074403974747,739.7342298105028,520.7169993782044,430.3573301463657,793.6234960216946,238.3372427622477,455.51868561638724
udp.time_delta,0.011432984347144763,0.06312405677305327,0.04542941063642502,0.06651395950052473,0.05324345017472903,0.09518150842852062,0.03608883569637934,0.012403132849269444,0.002136220894753933,0.24561875257227156,0.1364537783463796,0.1935843708117803,0.23819876141018337,0.0006449739477183255,0.0237476357155376
dns.qry.name,317.9204687160916,340.842120636834,778.7772203911676,77.42834542852722,931.0994554138183,545.0072804345025,79.98382135921054,223.15213289896647,136.49463957044813,1101.4095767550998,729.5578356085883,468.94215888553197,971.8934917873806,166.62342606862387,479.9366363779704
dns.qry.qu,0.04594517420722437,0.06263635903321216,0.011630837982375337,0.11268949523569098,0.013901475087598543,0.11878614964302067,0.10534800800578334,0.02350890897734431,0.011557357814019597,0.33149036705005736,0.164886419100399,0.2929954243728762,0.2972668554635595,0.013817023178345917,0.04953971779018572
dns.retransmission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dns.retransmit_request,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dns.retransmit_request_in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mqtt.conflag.cleansess,2.8451346507709887e-06,2.251567590671281e-06,7.715312272517217e-07,3.161117654397256e-06,1.0240356399056812e-06,2.977698200589253e-06,5.84660705903338e-06,3.9520642733097904e-07,1.4413148164749145e-06,2.3790623527020218e-06,9.44229314983305e-07,6.647880654782057e-06,2.397531837535401e-06,2.4806531534219783e-06,2.0052462867978545e-06
mqtt.conflags,1.6952436029290159e-06,7.843890246779969e-07,8.43146990519017e-07,8.457190577044255e-07,1.4157511112797592e-06,2.8317593063952193e-06,1.683209039684799e-07,2.958215352716959e-07,1.319271379745462e-07,1.5143997087660764e-06,1.775162656688028e-06,2.915182784717116e-06,3.990577404490775e-06,2.2937784605245622e-07,3.26372805931088e-06
mqtt.hdrflags,0.0005890373699367047,0.0006239320896565914,0.0006415388960805204,0.0008944001731773217,0.0004872046286861102,0.0014810834493901995,0.00302469901740551,0.0003783720288063503,0.0004164300507141484,0.0009881471966703733,0.0007544108749263816,0.00033397274505760934,0.0006133671125604047,0.0006880245544016361,0.0003064801657132597
mqtt.len,0.00011952113075595763,9.45955209640993e-05,0.00019121561458127365,0.00012576761008757683,0.00015380395602227913,0.00027182333171367647,0.00024907691818144584,4.722985477807621e-05,6.9627133941847e-06,6.0626647254038186e-05,3.435150073427293e-05,7.983024439050091e-06,3.0125904724829725e-05,1.0154542041062894e-05,7.425081088311142e-05
mqtt.msgtype,5.92339191320611e-06,6.179618092978166e-05,8.704815008160141e-05,2.723160691352354e-05,3.929383276651303e-05,0.00013221697933557961,0.00012056659286220868,0.00012343156772355238,9.484188087905447e-05,1.3016560891022284e-05,5.037376708868477e-05,4.265955015499559e-05,2.6298996009346513e-05,5.495395925309923e-05,0.00010704763337141938
mqtt.proto_len,1.0726988160361846e-05,2.3294078807036083e-05,7.998002434356345e-06,2.122354331529803e-05,9.782447790106138e-06,5.6997901863522e-05,5.56354783475399e-05,4.427772636214892e-05,2.6482360230551824e-05,1.326062043921815e-05,1.6561207982401053e-05,9.349233522597286e-06,9.552992673383818e-06,1.69158602754275e-05,2.914649641348256e-05
mqtt.topic_len,1.950832911663585e-05,8.662974772353968e-06,1.4975227208601104e-05,1.6435355775886112e-05,3.353521020876037e-05,1.2313609477132558e-06,1.9667835699187386e-05,6.925958182869686e-07,1.729413453075621e-05,3.905175460709466e-05,2.1946370187732908e-05,2.820238471031189e-05,2.41419631573889e-05,2.0365017569727366e-05,1.5471424493524764e-05
mqtt.ver,7.292858014504115e-06,8.316504924247663e-06,2.503772835350699e-05,1.4046398185503979e-06,1.4072469849553373e-05,1.2667521368712186e-05,1.1650028690281842e-05,1.39535011516677e-05,1.0534667202995883e-05,1.3404434753788843e-05,3.870646986696455e-06,1.2817966958714857e-05,1.1317626469665103e-05,2.5731555393172633e-06,1.2556340079754591e-05
mbtcp.len,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbtcp.trans_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbtcp.unit_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http.request.method_GET,0.0003138750460412767,0.00020052028043816486,0.001044495908750428,0.0006612451995412509,0.0005697499225950903,0.0007993142617245515,0.0016509639761514135,0.0012083335593342781,0.0015713272450698747,6.455210084418973e-05,5.712072881578934e-05,0.0005496793292048904,6.0420512777960136e-05,3.2969398519071546e-05,0.0008278327745695909
http.request.method_None,7.384424020225803e-05,6.807310079845289e-05,0.00045964768570330407,0.00011955040986120164,0.00022745103109627962,0.000239519109018147,0.00016623390172349495,0.0005914902956121497,0.0006110597505337662,0.00034935750791596044,0.00017718595607827108,0.0005411686665481991,0.0003031990087280671,0.000222719956913756,0.0004276883302049504
http.request.method_OPTIONS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http.request.method_POST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http.request.method_PROPFIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http.request.method_PUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http.request.method_SEARCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http.request.method_TRACE,4.822377425928911e-06,1.0328836118181547e-05,2.6771086785528394e-05,5.550655122432444e-06,2.8453214714924494e-05,1.6447647164265316e-05,2.61513309346305e-05,1.2227834926711188e-05,2.0669723550478617e-05,3.213583388262325e-05,2.6008555044730503e-05,2.9636176509989634e-05,2.7838804655604893e-05,2.7546948856777615e-06,1.5230082596341769e-05
mqtt.protoname_MQTT,3.0769910275315247e-06,5.79933485924913e-08,1.3047344206521908e-05,3.0781212262809277e-06,4.981313702753848e-06,1.0751706172919108e-06,6.910816559361087e-06,1.067587329695622e-05,1.0217267295552624e-05,4.842919685567419e-06,9.782239835153127e-08,6.474063783470127e-06,4.888503268981973e-06,8.858756821913023e-07,4.984674483744635e-06
mqtt.protoname_None,1.3435913974212276e-05,9.195990343060758e-06,2.7784019087751708e-05,1.388533247841729e-05,1.2685753042913145e-05,3.392591865526305e-05,1.4648030305074322e-05,5.146524661944972e-05,4.928278322849009e-05,2.047003453804387e-05,9.073649740053548e-06,4.142276011407375e-05,1.1355815351837212e-05,1.5772815483311813e-05,3.768652884496583e-05
mqtt.topic_None,4.837076283163495e-06,2.91681331064966e-06,9.876187476846906e-06,3.6401498234934277e-06,6.459147876335515e-06,1.4772779411739773e-05,2.0775700815849834e-06,1.9349679350852968e-05,1.9446745928790835e-05,8.43321801059776e-06,4.459214396774769e-06,1.341048317650954e-05,4.3045468111005095e-06,4.635251437624296e-06,1.3432549312710762e-05
mqtt.topic_Temperature_and_Humidity,9.283543719599644e-07,1.720877674718698e-06,8.819570454458395e-07,8.808554978006416e-07,1.0089801839462275e-08,3.0918375381992922e-06,2.2857305076387194e-06,2.1449814084917307e-06,1.6898589415682686e-06,8.15184579955207e-07,1.2449164771371417e-06,1.2139657822748026e-06,1.1091154172188706e-06,1.1556170001212094e-06,2.693439989040295e-06
